ENTREZID	Symbol
213527	Pth2r
12969	Crygf
17756	Map2
329178	Unc80
66646	Rpe
68691	Kansl1l
11363	Acadl
17901	Myl1
14768	Lancl1
227231	Cps1
13869	Erbb4
22779	Ikzf2
66722	Spag16
320460	Vwc2l
12021	Bard1
74591	Abca12
108147	Atic
14268	Fn1
100042814	Apol7d
667931	Gm8883
71134	4933417E11Rik
433319	Gm5528
381269	Mreg
111175	Pecr
271711	Tmem169
22596	Xrcc5
381270	Marchf4
54380	Smarcal1
319695	Ankar
19981	Rpl37a
16008	Igfbp2
16011	Igfbp5
21958	Tnp1
69449	1700027A15Rik
78718	D530049I02Rik
109198	6030407O03Rik
21961	Tns1
435626	Rufy4
12765	Cxcr2
227288	Cxcr1
100316687	Mir1928
76709	Arpc2
227289	Gpbar1
227290	Aamp
56695	Pnkd
69660	Tmbim1
241112	Catip
18173	Slc11a1
227292	Ctdsp1
387219	Mir26b
22349	Vil1
319651	Usp37
58184	Cnot9
18802	Plcd4
77264	Zfp142
66821	Bcs1l
57751	Rnf25
269209	Stk36
67534	Ttll4
104086	Cyp27a1
241113	Prkag3
22420	Wnt6
22409	Wnt10a
12570	Cdk5r2
260298	Fev
12958	Cryba2
723900	Mir375
241116	Cfap65
16147	Ihh
75570	Nhej1
22626	Slc23a3
69171	Cnppd1
227298	Retreg2
68818	Zfand2b
74104	Abcb6
245860	Atg9a
52231	Ankzf1
74577	Glb1l
20872	Stk16
22145	Tuba4a
381272	A630095N17Rik
56812	Dnajb2
19275	Ptprn
19711	Resp18
13437	Dnpep
13346	Des
100503248	Gm15179
11790	Speg
69080	Gmppa
241118	Asic4
74241	Chpf
319998	Tmem198
98733	Obsl1
16322	Inha
71728	Stk11ip
20536	Slc4a3
620079	Gm17751
13838	Epha4
18505	Pax3
433323	Sgpp2
23874	Farsb
68393	Mogat1
74205	Acsl3
195434	Utp14b
57814	Kcne4
20254	Scg2
252903	Ap1s3
69368	Wdfy1
69163	Mrpl44
20720	Serpine2
241128	Fam124b
